Name,COMSTOCK RES.INCO. 2004 6 7/8% 01/03/12 S - GROSS PRICE
Code,38875H(GP)
14/11/2006,96.4514
15/11/2006,97.0087
16/11/2006,97.0278
17/11/2006,96.9218
20/11/2006,97.0659
21/11/2006,97.0851
22/11/2006,96.8923
23/11/2006,96.9114
24/11/2006,96.9305
27/11/2006,96.9496
28/11/2006,96.8438
29/11/2006,96.776
30/11/2006,97.2951
1/12/2006,97.3142
4/12/2006,97.3333
5/12/2006,97.3524
6/12/2006,98.4097
7/12/2006,98.4288
8/12/2006,98.6979
11/12/2006,98.717
12/12/2006,97.9861
13/12/2006,98.5434
14/12/2006,99.0625
15/12/2006,99.0816
18/12/2006,99.1007
19/12/2006,99.1198
20/12/2006,99.1771
21/12/2006,99.1962
22/12/2006,99.2153
25/12/2006,99.2343
26/12/2006,99.2534
27/12/2006,99.2916
28/12/2006,99.3107
29/12/2006,99.3298
1/01/2007,99.3489
2/01/2007,99.368
3/01/2007,99.1753
4/01/2007,99.1944
5/01/2007,98.9635
8/01/2007,98.9826
9/01/2007,99.0017
10/01/2007,99.184
11/01/2007,99.0781
12/01/2007,99.0972
15/01/2007,99.1163
16/01/2007,99.1354
17/01/2007,99.1927
18/01/2007,98.8368
19/01/2007,98.8559
22/01/2007,98.75
23/01/2007,98.7691
24/01/2007,98.9514
25/01/2007,98.9705
26/01/2007,99.0955
29/01/2007,99.1146
30/01/2007,99.0087
31/01/2007,98.8159
1/02/2007,98.8351
2/02/2007,99.1041
5/02/2007,98.4982
6/02/2007,99.0173
7/02/2007,99.3246
8/02/2007,99.5937
9/02/2007,99.6128
12/02/2007,99.6319
13/02/2007,99.651
14/02/2007,99.9583
15/02/2007,99.9774
16/02/2007,100.3715
19/02/2007,100.3906
20/02/2007,100.4097
21/02/2007,100.342
22/02/2007,101.3611
23/02/2007,100.8802
26/02/2007,97.25
27/02/2007,97.0191
28/02/2007,96.8264
1/03/2007,96.8455
2/03/2007,97.1146
5/03/2007,96.8837
6/03/2007,97.1528
7/03/2007,97.2101
8/03/2007,97.2291
9/03/2007,97.3732
12/03/2007,97.3923
13/03/2007,97.2864
14/03/2007,97.0937
15/03/2007,97.1128
16/03/2007,97.1319
19/03/2007,96.901
20/03/2007,96.6701
21/03/2007,96.9774
22/03/2007,97.2465
23/03/2007,97.2656
26/03/2007,97.2847
27/03/2007,97.6788
28/03/2007,97.842
29/03/2007,97.8611
30/03/2007,97.6302
2/04/2007,97.6493
3/04/2007,97.6684
4/04/2007,97.7257
5/04/2007,97.7448
6/04/2007,97.7639
9/04/2007,97.783
10/04/2007,97.8021
11/04/2007,97.8594
12/04/2007,97.8784
13/04/2007,97.8976
16/04/2007,97.9166
17/04/2007,98.0607
18/04/2007,98.243
19/04/2007,98.0121
20/04/2007,98.5312
23/04/2007,98.5503
24/04/2007,98.5694
25/04/2007,99.3767
26/04/2007,99.3958
27/04/2007,99.1649
30/04/2007,98.934
1/05/2007,99.2031
2/05/2007,99.3854
3/05/2007,99.2795
4/05/2007,99.2986
7/05/2007,99.3177
8/05/2007,99.3368
9/05/2007,99.8941
10/05/2007,99.9132
11/05/2007,99.9323
14/05/2007,99.9514
15/05/2007,99.9705
16/05/2007,100.0278
17/05/2007,100.0468
18/05/2007,100.0659
21/05/2007,100.0851
22/05/2007,99.6041
23/05/2007,99.6614
24/05/2007,99.3055
25/05/2007,99.3246
28/05/2007,99.3246
29/05/2007,99.2188
30/05/2007,99.276
31/05/2007,99.5451
1/06/2007,99.5642
4/06/2007,99.5833
5/06/2007,98.8524
6/06/2007,98.9097
7/06/2007,97.9288
8/06/2007,97.9479
11/06/2007,98.467
12/06/2007,97.4861
13/06/2007,97.5434
14/06/2007,97.5625
15/06/2007,97.5816
18/06/2007,98.6007
19/06/2007,98.3698
20/06/2007,98.1771
21/06/2007,98.1962
22/06/2007,98.2153
25/06/2007,97.7343
26/06/2007,98.0034
27/06/2007,97.8107
28/06/2007,97.8298
29/06/2007,97.8489
2/07/2007,98.118
3/07/2007,97.0121
4/07/2007,97.0694
5/07/2007,96.8385
6/07/2007,97.4826
9/07/2007,97.5017
10/07/2007,97.5208
11/07/2007,97.0781
12/07/2007,97.0972
13/07/2007,97.2413
16/07/2007,98.1354
17/07/2007,99.9045
18/07/2007,99.4618
19/07/2007,98.7309
20/07/2007,97.75
23/07/2007,96.7691
24/07/2007,95.7882
25/07/2007,95.3455
26/07/2007,93.8455
27/07/2007,94.3646
30/07/2007,94.8837
31/07/2007,95.4028
1/08/2007,95.4601
2/08/2007,94.9791
3/08/2007,95.9982
6/08/2007,96.0173
7/08/2007,96.2864
8/08/2007,97.0937
9/08/2007,97.1128
10/08/2007,97.1319
13/08/2007,97.651
14/08/2007,96.6701
15/08/2007,96.2274
16/08/2007,95.7465
17/08/2007,96.2656
20/08/2007,96.2847
21/08/2007,96.8038
22/08/2007,96.8611
23/08/2007,96.8802
24/08/2007,96.8993
27/08/2007,96.9184
28/08/2007,96.4184
29/08/2007,93.0382
30/08/2007,93.0573
31/08/2007,93.0764
3/09/2007,93.0955
4/09/2007,93.1146
5/09/2007,93.6718
6/09/2007,94.1909
7/09/2007,94.2101
10/09/2007,94.2291
11/09/2007,94.2482
12/09/2007,94.3055
13/09/2007,93.8246
14/09/2007,93.8437
17/09/2007,94.3628
18/09/2007,94.8819
19/09/2007,95.6892
20/09/2007,95.7083
21/09/2007,96.3524
24/09/2007,96.4965
25/09/2007,96.5156
26/09/2007,96.5729
27/09/2007,96.592
28/09/2007,96.8611
1/10/2007,96.8802
2/10/2007,96.6493
3/10/2007,96.7066
4/10/2007,96.7257
5/10/2007,96.7448
8/10/2007,96.7639
9/10/2007,96.783
10/10/2007,97.3403
11/10/2007,97.3594
12/10/2007,97.8784
15/10/2007,97.8976
16/10/2007,96.4166
17/10/2007,96.9739
18/10/2007,96.493
19/10/2007,96.0121
22/10/2007,96.0312
23/10/2007,95.5503
24/10/2007,96.1076
25/10/2007,96.6267
26/10/2007,95.6267
29/10/2007,97.1458
30/10/2007,97.1649
31/10/2007,97.2222
1/11/2007,96.7413
2/11/2007,96.8854
5/11/2007,96.7795
6/11/2007,97.0486
7/11/2007,96.8559
8/11/2007,96.875
9/11/2007,96.8941
12/11/2007,96.9132
13/11/2007,96.6823
14/11/2007,96.4896
15/11/2007,96.0087
16/11/2007,95.0278
19/11/2007,94.5468
20/11/2007,94.0659
21/11/2007,94.1232
22/11/2007,94.1423
23/11/2007,94.1614
26/11/2007,94.1805
27/11/2007,94.6996
28/11/2007,95.2569
29/11/2007,95.276
30/11/2007,96.2951
3/12/2007,96.3142
4/12/2007,96.0833
5/12/2007,96.6406
6/12/2007,96.6597
7/12/2007,96.9288
10/12/2007,96.9479
11/12/2007,97.217
12/12/2007,97.0243
13/12/2007,97.0434
14/12/2007,97.0625
17/12/2007,98.0816
18/12/2007,96.6007
19/12/2007,96.658
20/12/2007,96.6771
21/12/2007,97.4462
24/12/2007,97.4653
25/12/2007,97.4843
26/12/2007,97.2726
27/12/2007,97.5416
28/12/2007,96.5607
31/12/2007,96.5798
1/01/2008,96.5989
2/01/2008,96.6562
3/01/2008,96.6753
4/01/2008,96.4444
7/01/2008,96.4635
8/01/2008,96.4826
9/01/2008,96.7899
10/01/2008,96.809
11/01/2008,97.0781
14/01/2008,97.0972
15/01/2008,96.8663
16/01/2008,96.6736
17/01/2008,96.1927
18/01/2008,96.7118
21/01/2008,96.7309
22/01/2008,95.75
23/01/2008,96.8073
24/01/2008,96.8264
25/01/2008,96.8455
28/01/2008,96.8455
29/01/2008,97.3646
30/01/2008,97.4218
31/01/2008,97.4409
1/02/2008,97.2101
4/02/2008,97.4791
5/02/2008,96.9982
6/02/2008,97.0555
7/02/2008,96.0746
8/02/2008,96.5937
11/02/2008,96.1128
12/02/2008,96.1319
13/02/2008,96.1892
14/02/2008,96.7083
15/02/2008,96.7274
18/02/2008,96.7465
19/02/2008,96.7656
20/02/2008,96.3229
21/02/2008,96.342
22/02/2008,96.3611
25/02/2008,96.6302
26/02/2008,96.8993
27/02/2008,93.5382
28/02/2008,93.5573
29/02/2008,93.0764
3/03/2008,93.0955
4/03/2008,93.1146
5/03/2008,93.1718
6/03/2008,93.1909
7/03/2008,93.2101
10/03/2008,93.2291
11/03/2008,94.7482
12/03/2008,94.5555
13/03/2008,94.3246
