Name,MILLICOM INTL CELU. 2003 10% 01/12/13 144A S - GROSSPRICE
Code,37413V(GP)
22/11/2005,100.8333
23/11/2005,100.9166
24/11/2005,100.9444
25/11/2005,100.9722
28/11/2005,96
29/11/2005,96.0278
30/11/2005,96.1111
1/12/2005,96.1389
2/12/2005,96.1666
5/12/2005,96.1944
6/12/2005,96.2222
7/12/2005,96.3055
8/12/2005,96.3333
9/12/2005,96.3611
12/12/2005,96.3889
13/12/2005,96.4166
14/12/2005,96.5
15/12/2005,96.5278
16/12/2005,96.5555
19/12/2005,96.5833
20/12/2005,96.6111
21/12/2005,96.6944
22/12/2005,96.7222
23/12/2005,96.75
26/12/2005,96.7778
27/12/2005,96.8055
28/12/2005,96.8611
29/12/2005,96.8889
30/12/2005,96.9166
2/01/2006,96.9444
3/01/2006,96.9722
4/01/2006,97.0555
5/01/2006,97.0833
6/01/2006,97.1111
9/01/2006,97.1389
10/01/2006,97.1666
11/01/2006,97.25
12/01/2006,97.2778
13/01/2006,97.3055
16/01/2006,97.3333
17/01/2006,97.3611
18/01/2006,97.4444
19/01/2006,97.4722
20/01/2006,97.5
23/01/2006,97.5278
24/01/2006,97.5555
25/01/2006,97.6389
26/01/2006,97.6389
27/01/2006,97.6666
30/01/2006,97.6944
31/01/2006,97.7222
1/02/2006,97.8055
2/02/2006,97.8333
3/02/2006,97.8611
6/02/2006,97.8889
7/02/2006,97.9166
8/02/2006,98
9/02/2006,98.0278
10/02/2006,98.0555
13/02/2006,98.0833
14/02/2006,98.1111
15/02/2006,98.1944
16/02/2006,98.2222
17/02/2006,98.25
20/02/2006,98.2778
21/02/2006,98.3055
22/02/2006,98.3889
23/02/2006,98.4166
24/02/2006,98.5
27/02/2006,98.5278
28/02/2006,98.5555
1/03/2006,98.6389
2/03/2006,98.6666
3/03/2006,98.6944
6/03/2006,98.7222
7/03/2006,98.75
8/03/2006,98.8333
9/03/2006,98.8611
10/03/2006,98.8889
13/03/2006,98.9166
14/03/2006,98.9444
15/03/2006,99.0278
16/03/2006,99.0555
17/03/2006,99.0833
20/03/2006,99.1111
21/03/2006,99.1389
22/03/2006,99.2222
23/03/2006,99.25
24/03/2006,99.2778
27/03/2006,99.3055
28/03/2006,99.3055
29/03/2006,99.3889
30/03/2006,99.4166
31/03/2006,99.4444
3/04/2006,99.4722
4/04/2006,99.5
5/04/2006,99.5833
6/04/2006,99.6111
7/04/2006,99.6389
10/04/2006,99.6666
11/04/2006,99.6944
12/04/2006,99.7778
13/04/2006,99.8055
14/04/2006,99.8333
17/04/2006,99.8611
18/04/2006,99.8889
19/04/2006,99.9722
20/04/2006,100
21/04/2006,100.0278
24/04/2006,100.0555
25/04/2006,100.0833
26/04/2006,100.1666
27/04/2006,100.1944
28/04/2006,100.2222
1/05/2006,100.25
2/05/2006,100.2778
3/05/2006,100.3611
4/05/2006,100.3889
5/05/2006,100.4166
8/05/2006,100.4444
9/05/2006,100.4722
10/05/2006,100.5555
11/05/2006,100.5833
12/05/2006,100.6111
15/05/2006,100.6389
16/05/2006,100.6666
17/05/2006,100.75
18/05/2006,100.7778
19/05/2006,100.8055
22/05/2006,100.8333
23/05/2006,100.8611
24/05/2006,100.9444
25/05/2006,100.9722
26/05/2006,100.9722
29/05/2006,96
30/05/2006,96.0278
31/05/2006,96.1111
1/06/2006,96.1389
2/06/2006,96.1666
5/06/2006,96.1944
6/06/2006,96.2222
7/06/2006,96.3055
8/06/2006,96.3333
9/06/2006,96.3611
12/06/2006,96.3889
13/06/2006,96.4166
14/06/2006,96.5
15/06/2006,96.5278
16/06/2006,96.5555
19/06/2006,96.5833
20/06/2006,96.6111
21/06/2006,96.6944
22/06/2006,96.7222
23/06/2006,96.75
26/06/2006,96.7778
27/06/2006,96.8055
28/06/2006,96.8889
29/06/2006,96.9166
30/06/2006,96.9444
3/07/2006,96.9722
4/07/2006,97
5/07/2006,97.0833
6/07/2006,97.1111
7/07/2006,97.1389
10/07/2006,97.1666
11/07/2006,97.1944
12/07/2006,97.2778
13/07/2006,97.3055
14/07/2006,97.3333
17/07/2006,97.3611
18/07/2006,97.3889
19/07/2006,97.4722
20/07/2006,97.5
21/07/2006,97.5278
24/07/2006,97.5555
25/07/2006,97.5833
26/07/2006,97.6389
27/07/2006,97.6666
28/07/2006,97.6944
31/07/2006,97.7222
1/08/2006,97.75
2/08/2006,97.8333
3/08/2006,97.8611
4/08/2006,97.8889
7/08/2006,97.9166
8/08/2006,97.9444
9/08/2006,98.0278
10/08/2006,98.0555
11/08/2006,98.0833
14/08/2006,98.1111
15/08/2006,98.1389
16/08/2006,98.2222
17/08/2006,98.25
18/08/2006,98.2778
21/08/2006,98.3055
22/08/2006,98.3333
23/08/2006,98.4166
24/08/2006,98.4444
25/08/2006,98.4722
28/08/2006,98.4722
29/08/2006,98.5
30/08/2006,98.5833
31/08/2006,98.6111
1/09/2006,98.6389
4/09/2006,98.6666
5/09/2006,98.6944
6/09/2006,98.7778
7/09/2006,98.8055
8/09/2006,98.8333
11/09/2006,98.8611
12/09/2006,98.8889
13/09/2006,98.9722
14/09/2006,99
15/09/2006,99.0278
18/09/2006,99.0555
19/09/2006,99.0833
20/09/2006,99.1666
21/09/2006,99.1944
22/09/2006,99.2222
25/09/2006,99.25
26/09/2006,99.2778
27/09/2006,99.3611
28/09/2006,99.3889
29/09/2006,99.4166
2/10/2006,99.4444
3/10/2006,99.4722
4/10/2006,99.5555
5/10/2006,99.5833
6/10/2006,99.6111
9/10/2006,99.6389
10/10/2006,99.6666
11/10/2006,99.75
12/10/2006,99.7778
13/10/2006,99.8055
16/10/2006,99.8333
17/10/2006,99.8611
18/10/2006,99.9444
19/10/2006,99.9722
20/10/2006,100
23/10/2006,100.0278
24/10/2006,100.0555
25/10/2006,100.1389
26/10/2006,100.1389
27/10/2006,100.1666
30/10/2006,100.1944
31/10/2006,100.2222
1/11/2006,100.3055
2/11/2006,100.3333
3/11/2006,100.3611
6/11/2006,100.3889
7/11/2006,100.4166
