Name,BLOUNT INCO. 2004 8 7/8% 01/08/12 S - GROSS PRICE
Code,46389R(GP)
5/01/2007,105.9198
8/01/2007,105.9444
9/01/2007,106.2191
10/01/2007,106.043
11/01/2007,106.0677
12/01/2007,106.0923
15/01/2007,106.117
16/01/2007,106.3916
17/01/2007,106.4656
18/01/2007,107.1152
19/01/2007,107.1399
22/01/2007,106.7896
23/01/2007,106.8142
24/01/2007,106.8882
25/01/2007,107.4128
26/01/2007,107.4128
29/01/2007,103
30/01/2007,103.0246
31/01/2007,103.0986
1/02/2007,103.1232
2/02/2007,103.1479
5/02/2007,103.1725
6/02/2007,103.1972
7/02/2007,103.2712
8/02/2007,103.2958
9/02/2007,103.8205
12/02/2007,103.8451
13/02/2007,103.3698
14/02/2007,103.9437
15/02/2007,103.9684
16/02/2007,103.993
19/02/2007,104.0177
20/02/2007,104.0423
21/02/2007,104.1163
22/02/2007,104.1409
23/02/2007,104.1656
26/02/2007,104.2396
27/02/2007,104.2642
28/02/2007,105.0882
1/03/2007,105.1128
2/03/2007,105.1375
5/03/2007,105.1621
6/03/2007,105.1868
7/03/2007,105.2607
8/03/2007,105.0354
9/03/2007,105.06
12/03/2007,105.0847
13/03/2007,103.6094
14/03/2007,103.9333
15/03/2007,103.958
16/03/2007,103.9826
19/03/2007,104.5073
20/03/2007,104.0319
21/03/2007,104.1059
22/03/2007,105.3805
23/03/2007,105.4052
26/03/2007,105.4298
27/03/2007,105.4545
28/03/2007,105.5038
29/03/2007,104.5284
30/03/2007,105.0531
2/04/2007,105.0778
3/04/2007,105.3524
4/04/2007,105.4264
5/04/2007,105.451
6/04/2007,105.4757
9/04/2007,105.5003
10/04/2007,105.775
11/04/2007,105.8489
12/04/2007,105.8736
13/04/2007,105.8982
16/04/2007,105.6729
17/04/2007,106.6975
18/04/2007,106.7715
19/04/2007,106.7962
20/04/2007,107.0708
23/04/2007,107.0955
24/04/2007,107.1201
25/04/2007,107.1941
26/04/2007,107.2188
27/04/2007,107.2434
30/04/2007,107.268
1/05/2007,107.2927
2/05/2007,107.3666
3/05/2007,106.6413
4/05/2007,106.666
7/05/2007,105.6906
8/05/2007,105.7153
9/05/2007,106.5392
10/05/2007,106.5639
11/05/2007,106.5885
14/05/2007,106.6132
15/05/2007,106.6378
16/05/2007,106.2118
17/05/2007,106.2364
18/05/2007,106.2611
21/05/2007,106.2857
22/05/2007,106.6854
23/05/2007,106.7594
24/05/2007,106.784
25/05/2007,106.8087
28/05/2007,106.8087
29/05/2007,106.9583
30/05/2007,107.0323
31/05/2007,107.0569
1/06/2007,106.0816
4/06/2007,106.3562
5/06/2007,105.8809
6/06/2007,105.4548
7/06/2007,105.7295
8/06/2007,105.0042
11/06/2007,105.2788
12/06/2007,105.5535
13/06/2007,105.3774
14/06/2007,105.4021
15/06/2007,105.9267
18/06/2007,105.4514
19/06/2007,106.226
20/06/2007,105.8
21/06/2007,105.3246
22/06/2007,105.0993
25/06/2007,105.8739
26/06/2007,105.1486
27/06/2007,104.9725
28/06/2007,104.9972
29/06/2007,104.7719
2/07/2007,104.7965
3/07/2007,104.8212
4/07/2007,104.8951
5/07/2007,104.9198
6/07/2007,105.1944
9/07/2007,104.9691
10/07/2007,104.7437
11/07/2007,104.5677
12/07/2007,104.5923
13/07/2007,104.617
16/07/2007,104.6416
17/07/2007,104.6663
18/07/2007,104.9902
19/07/2007,105.0149
20/07/2007,104.5396
23/07/2007,104.3142
24/07/2007,103.8389
25/07/2007,104.1628
26/07/2007,103.4128
27/07/2007,99
30/07/2007,99.0246
31/07/2007,92.0493
1/08/2007,94.1232
2/08/2007,94.1479
3/08/2007,99.4225
6/08/2007,99.1972
7/08/2007,99.2218
8/08/2007,100.2958
9/08/2007,100.3205
10/08/2007,100.3451
13/08/2007,99.6198
14/08/2007,100.3944
15/08/2007,99.9684
16/08/2007,99.993
17/08/2007,100.0177
20/08/2007,100.0423
21/08/2007,100.567
22/08/2007,100.6409
23/08/2007,100.6656
24/08/2007,100.6903
27/08/2007,100.7149
28/08/2007,100.7149
29/08/2007,100.7889
30/08/2007,100.8135
31/08/2007,100.8382
3/09/2007,100.8628
4/09/2007,100.8875
5/09/2007,100.9614
6/09/2007,100.9861
7/09/2007,101.0107
10/09/2007,101.0354
11/09/2007,101.06
12/09/2007,101.134
13/09/2007,100.9087
14/09/2007,100.9333
17/09/2007,101.208
18/09/2007,101.2326
19/09/2007,101.3066
20/09/2007,101.3312
21/09/2007,101.3559
24/09/2007,101.3805
25/09/2007,101.4052
26/09/2007,102.4791
27/09/2007,103.1288
28/09/2007,103.1534
1/10/2007,103.1781
2/10/2007,102.8278
3/10/2007,103.1517
4/10/2007,103.1764
5/10/2007,103.201
8/10/2007,103.2257
9/10/2007,103.0003
10/10/2007,103.3243
11/10/2007,103.3489
12/10/2007,103.4986
15/10/2007,103.1482
16/10/2007,103.1729
17/10/2007,103.7469
18/10/2007,103.5215
19/10/2007,103.5462
22/10/2007,103.5708
23/10/2007,103.5955
24/10/2007,103.9194
25/10/2007,103.9441
26/10/2007,103.9441
29/10/2007,103.7188
30/10/2007,103.7434
31/10/2007,103.8173
1/11/2007,103.342
2/11/2007,103.3666
5/11/2007,103.3913
6/11/2007,103.916
7/11/2007,103.9899
8/11/2007,103.7646
9/11/2007,103.7892
12/11/2007,103.8139
13/11/2007,103.8385
14/11/2007,103.9125
15/11/2007,103.9371
16/11/2007,103.7118
19/11/2007,102.7364
20/11/2007,102.7611
21/11/2007,102.8351
22/11/2007,102.8597
23/11/2007,102.8844
26/11/2007,103.409
27/11/2007,102.9337
28/11/2007,103.0076
29/11/2007,103.0323
30/11/2007,103.0569
3/12/2007,103.8316
4/12/2007,104.1062
5/12/2007,104.1802
6/12/2007,103.7048
7/12/2007,103.7295
10/12/2007,103.8792
11/12/2007,104.0288
12/12/2007,104.1028
13/12/2007,104.1274
14/12/2007,103.6521
17/12/2007,103.6767
18/12/2007,103.4514
19/12/2007,104.5253
20/12/2007,104.55
21/12/2007,104.5746
24/12/2007,104.5993
25/12/2007,104.6239
26/12/2007,104.6733
27/12/2007,104.1979
28/12/2007,103.9725
31/12/2007,103.9972
1/01/2008,104.0219
2/01/2008,103.8458
3/01/2008,103.8705
4/01/2008,103.3951
7/01/2008,103.4198
8/01/2008,103.4444
9/01/2008,103.5184
10/01/2008,103.543
11/01/2008,103.8177
14/01/2008,103.8423
15/01/2008,103.867
16/01/2008,103.9409
17/01/2008,102.7156
18/01/2008,103.2402
21/01/2008,103.2649
22/01/2008,103.2896
23/01/2008,101.8635
24/01/2008,101.8882
25/01/2008,103.4128
28/01/2008,103.4128
29/01/2008,99
30/01/2008,99.0739
31/01/2008,98.3486
1/02/2008,98.8732
4/02/2008,98.8979
5/02/2008,98.9225
6/02/2008,97.7465
7/02/2008,97.2712
8/02/2008,97.2958
11/02/2008,97.3205
12/02/2008,97.3451
13/02/2008,95.9191
14/02/2008,95.9437
15/02/2008,95.4684
18/02/2008,95.493
19/02/2008,95.5177
20/02/2008,95.5916
21/02/2008,96.3663
22/02/2008,97.1409
25/02/2008,97.1656
26/02/2008,98.1903
27/02/2008,98.2889
28/02/2008,98.3135
29/02/2008,98.0882
3/03/2008,98.3628
4/03/2008,98.5125
5/03/2008,98.7114
6/03/2008,98.7361
7/03/2008,98.7607
10/03/2008,98.7854
11/03/2008,98.81
12/03/2008,98.884
13/03/2008,98.9087
14/03/2008,98.9333
17/03/2008,98.958
18/03/2008,98.9826
19/03/2008,99.0566
20/03/2008,99.0812
21/03/2008,99.1059
24/03/2008,99.8805
25/03/2008,100.6552
26/03/2008,100.4545
27/03/2008,100.4791
28/03/2008,100.0038
31/03/2008,99.7784
1/04/2008,100.3031
2/04/2008,100.3771
3/04/2008,100.4017
4/04/2008,100.6764
7/04/2008,102.201
8/04/2008,102.2257
9/04/2008,99.7997
10/04/2008,101.8243
11/04/2008,101.8489
14/04/2008,101.8736
15/04/2008,102.1482
16/04/2008,102.7222
17/04/2008,102.7469
18/04/2008,103.0215
21/04/2008,103.0462
22/04/2008,103.0708
23/04/2008,102.6448
24/04/2008,102.6694
25/04/2008,102.6941
28/04/2008,102.7188
29/04/2008,102.7434
30/04/2008,102.8173
1/05/2008,103.342
2/05/2008,103.3666
5/05/2008,103.8913
6/05/2008,103.416
7/05/2008,103.4899
8/05/2008,103.5146
9/05/2008,103.5392
12/05/2008,102.8139
13/05/2008,102.8385
14/05/2008,103.1625
15/05/2008,103.1871
16/05/2008,103.4618
19/05/2008,103.4864
20/05/2008,103.5111
21/05/2008,103.9601
22/05/2008,103.8597
23/05/2008,103.8844
26/05/2008,103.909
27/05/2008,103.6837
28/05/2008,104.483
29/05/2008,104.5076
30/05/2008,104.5323
2/06/2008,104.5569
3/06/2008,104.5816
4/06/2008,104.6555
5/06/2008,104.9302
6/06/2008,104.9548
9/06/2008,104.9795
10/06/2008,104.2542
11/06/2008,104.3281
12/06/2008,103.8528
13/06/2008,103.8774
16/06/2008,104.4021
17/06/2008,104.4267
18/06/2008,104.2507
19/06/2008,104.2753
20/06/2008,104.3
23/06/2008,104.0746
24/06/2008,104.0993
25/06/2008,104.1733
26/06/2008,104.1979
27/06/2008,103.7225
30/06/2008,103.7472
1/07/2008,103.7719
2/07/2008,103.8458
3/07/2008,103.8705
4/07/2008,103.8951
7/07/2008,103.6698
8/07/2008,103.4444
9/07/2008,103.7684
10/07/2008,103.293
11/07/2008,103.3177
14/07/2008,103.3423
15/07/2008,103.367
16/07/2008,103.1909
17/07/2008,103.7156
