Name,ANIXTER INCO. 2005 5.95% 01/03/15 S - DEFAULT PRICE
Code,48998L(GP)
7/11/2006,94
8/11/2006,94
9/11/2006,94
10/11/2006,94
13/11/2006,94
14/11/2006,94.75
15/11/2006,94.75
16/11/2006,94.75
17/11/2006,94.75
20/11/2006,94.75
21/11/2006,94
22/11/2006,94
23/11/2006,94
24/11/2006,94
27/11/2006,94
28/11/2006,93.75
29/11/2006,93.75
30/11/2006,93.75
1/12/2006,93.75
4/12/2006,93.75
5/12/2006,93.75
6/12/2006,93.75
7/12/2006,93.75
8/12/2006,93.75
11/12/2006,93.75
12/12/2006,94
13/12/2006,94
14/12/2006,94
15/12/2006,94
18/12/2006,94
19/12/2006,94
20/12/2006,92.5
21/12/2006,92.5
22/12/2006,92.5
25/12/2006,92.5
26/12/2006,92.5
27/12/2006,92.5
28/12/2006,92.5
29/12/2006,92.5
1/01/2007,92.5
2/01/2007,92.5
3/01/2007,92.5
4/01/2007,92.5
5/01/2007,92.5
8/01/2007,92.5
9/01/2007,92.5
10/01/2007,92.5
11/01/2007,92.5
12/01/2007,92.5
15/01/2007,92.5
16/01/2007,92.5
17/01/2007,92.5
18/01/2007,95
19/01/2007,95
22/01/2007,94
23/01/2007,94
24/01/2007,94
25/01/2007,94
26/01/2007,94
29/01/2007,94
30/01/2007,94
31/01/2007,94.625
1/02/2007,94.75
2/02/2007,94.75
5/02/2007,94.75
6/02/2007,94.25
7/02/2007,94.25
8/02/2007,94.25
9/02/2007,94.25
12/02/2007,94.25
13/02/2007,94
14/02/2007,94
15/02/2007,94.25
16/02/2007,94.25
19/02/2007,94.25
20/02/2007,94.25
21/02/2007,94.25
22/02/2007,94.25
23/02/2007,94.25
26/02/2007,94.25
27/02/2007,94
28/02/2007,94.25
1/03/2007,94.25
2/03/2007,94
5/03/2007,94
6/03/2007,94
7/03/2007,94
8/03/2007,94
9/03/2007,94
12/03/2007,94
13/03/2007,94
14/03/2007,94
15/03/2007,94
16/03/2007,94
19/03/2007,94
20/03/2007,94
21/03/2007,93.5
22/03/2007,93.5
23/03/2007,93.25
26/03/2007,94
27/03/2007,94
28/03/2007,94
29/03/2007,94
30/03/2007,94
2/04/2007,94
3/04/2007,94
4/04/2007,94
5/04/2007,94
6/04/2007,94
9/04/2007,94
10/04/2007,94
11/04/2007,93
12/04/2007,94
