Name,PUBLIC SER.ENTER.GP.2004 5% 15/08/14 S - GROSS PRICE
Code,466164(GP)
29/09/2006,98.0572
2/10/2006,98.1653
3/10/2006,98.2048
4/10/2006,98.5552
5/10/2006,98.301
6/10/2006,97.7686
9/10/2006,97.7825
10/10/2006,97.4758
11/10/2006,97.2863
12/10/2006,97.3503
13/10/2006,97.1933
16/10/2006,97.3186
17/10/2006,97.407
18/10/2006,97.5252
19/10/2006,97.405
20/10/2006,97.4322
23/10/2006,97.19
24/10/2006,97.2172
25/10/2006,97.5615
26/10/2006,97.9
27/10/2006,98.1912
30/10/2006,98.2182
31/10/2006,98.6348
1/11/2006,98.9702
2/11/2006,98.7551
3/11/2006,98.048
6/11/2006,98.0996
7/11/2006,98.4219
8/11/2006,98.6262
9/11/2006,98.6347
10/11/2006,98.8902
13/11/2006,98.8491
14/11/2006,99.0988
15/11/2006,98.8334
16/11/2006,98.5957
17/11/2006,98.9428
20/11/2006,99.0013
21/11/2006,99.1283
22/11/2006,99.2323
23/11/2006,99.2462
24/11/2006,99.3843
27/11/2006,99.4606
28/11/2006,99.6608
29/11/2006,99.6176
30/11/2006,100.0163
1/12/2006,100.2357
4/12/2006,100.2065
5/12/2006,100.1711
6/12/2006,99.9724
7/12/2006,99.9745
8/12/2006,99.674
11/12/2006,99.8983
12/12/2006,100.0919
13/12/2006,99.6052
14/12/2006,99.5093
15/12/2006,99.5117
18/12/2006,99.5753
19/12/2006,99.5287
20/12/2006,99.5977
21/12/2006,99.8943
22/12/2006,99.4498
25/12/2006,99.4637
26/12/2006,99.6066
27/12/2006,99.3259
28/12/2006,99.1098
29/12/2006,99.0286
1/01/2007,99.0425
2/01/2007,99.1776
3/01/2007,99.3675
4/01/2007,99.6618
5/01/2007,99.4942
8/01/2007,99.4361
9/01/2007,99.4751
10/01/2007,99.363
11/01/2007,99.0461
12/01/2007,98.8447
15/01/2007,98.8586
16/01/2007,99.0057
17/01/2007,98.8347
18/01/2007,99.0595
19/01/2007,98.9486
22/01/2007,99.2275
23/01/2007,98.9726
24/01/2007,98.9758
25/01/2007,98.6568
26/01/2007,98.5867
29/01/2007,98.5233
30/01/2007,98.6395
31/01/2007,98.9885
1/02/2007,98.9261
2/02/2007,98.9888
5/02/2007,99.129
6/02/2007,99.4008
7/02/2007,99.5653
8/02/2007,99.5922
9/02/2007,99.2848
12/02/2007,96.7582
13/02/2007,96.7134
14/02/2007,97.2467
15/02/2007,97.4168
16/02/2007,97.5271
19/02/2007,97.541
20/02/2007,97.6154
21/02/2007,97.5869
22/02/2007,97.3745
23/02/2007,97.6997
26/02/2007,98.0247
27/02/2007,98.738
28/02/2007,98.2563
1/03/2007,98.4269
2/03/2007,98.6882
5/03/2007,98.6844
6/03/2007,98.6384
7/03/2007,98.8499
8/03/2007,98.822
9/03/2007,98.3318
12/03/2007,98.5799
13/03/2007,98.9369
14/03/2007,98.8293
15/03/2007,98.7536
16/03/2007,98.7079
19/03/2007,98.5666
20/03/2007,98.7245
21/03/2007,98.9353
22/03/2007,98.5311
23/03/2007,98.4026
26/03/2007,98.5659
27/03/2007,98.4375
28/03/2007,98.4189
29/03/2007,98.362
30/03/2007,98.2698
2/04/2007,98.3199
3/04/2007,98.2063
4/04/2007,98.3315
5/04/2007,98.0864
6/04/2007,97.6485
9/04/2007,97.7093
10/04/2007,97.8473
11/04/2007,97.8036
12/04/2007,97.8301
13/04/2007,97.7045
16/04/2007,97.8713
17/04/2007,98.1615
18/04/2007,98.4053
19/04/2007,98.326
20/04/2007,98.3289
23/04/2007,98.4728
24/04/2007,98.6521
25/04/2007,98.5547
26/04/2007,98.3349
27/04/2007,98.2677
30/04/2007,98.6926
1/05/2007,98.6368
2/05/2007,98.6573
3/05/2007,98.508
4/05/2007,98.7216
7/05/2007,98.7597
8/05/2007,98.7861
9/05/2007,98.5729
10/05/2007,98.7161
11/05/2007,98.5907
14/05/2007,98.5471
15/05/2007,98.4339
16/05/2007,98.6178
17/05/2007,98.3481
18/05/2007,98.0797
21/05/2007,98.1928
22/05/2007,97.9712
23/05/2007,97.8505
24/05/2007,97.8885
25/05/2007,97.852
28/05/2007,97.852
29/05/2007,97.7627
30/05/2007,97.8137
31/05/2007,97.7659
1/06/2007,97.4274
4/06/2007,97.5963
5/06/2007,97.3442
6/06/2007,97.4241
7/06/2007,96.7108
8/06/2007,96.6083
11/06/2007,96.5172
12/06/2007,95.8912
13/06/2007,96.2221
14/06/2007,96.1432
15/06/2007,96.4263
18/06/2007,96.5927
19/06/2007,96.9162
20/06/2007,96.7723
21/06/2007,96.5591
22/06/2007,96.6974
25/06/2007,97.0427
26/06/2007,96.9352
27/06/2007,97.1606
28/06/2007,96.9024
29/06/2007,97.2324
2/07/2007,97.4664
3/07/2007,97.1884
4/07/2007,97.2301
5/07/2007,96.7005
6/07/2007,96.4451
9/07/2007,96.6654
10/07/2007,97.3647
11/07/2007,97.1774
12/07/2007,96.971
13/07/2007,97.0532
16/07/2007,97.4188
17/07/2007,97.2453
18/07/2007,97.6591
19/07/2007,97.591
20/07/2007,97.9858
23/07/2007,97.9565
24/07/2007,98.1508
25/07/2007,98.404
26/07/2007,98.8549
27/07/2007,98.5371
30/07/2007,97.8931
31/07/2007,98.0756
1/08/2007,98.1888
2/08/2007,98.2488
3/08/2007,98.5656
6/08/2007,98.4078
7/08/2007,98.3451
8/08/2007,97.5771
9/08/2007,97.8797
10/08/2007,95.4727
13/08/2007,95.5986
14/08/2007,95.8687
15/08/2007,95.4822
16/08/2007,96.0956
17/08/2007,95.7336
20/08/2007,95.9259
21/08/2007,96.4746
22/08/2007,96.3356
23/08/2007,96.3783
24/08/2007,96.3266
27/08/2007,96.5306
28/08/2007,96.8996
29/08/2007,96.8548
30/08/2007,97.093
31/08/2007,96.9012
3/09/2007,96.9151
4/09/2007,96.8353
5/09/2007,97.3707
6/09/2007,97.229
7/09/2007,97.9949
10/09/2007,97.9701
11/09/2007,97.2065
12/09/2007,96.7294
13/09/2007,96.3088
14/09/2007,96.4395
17/09/2007,96.4106
18/09/2007,96.3817
19/09/2007,96.449
20/09/2007,95.6883
21/09/2007,95.8996
24/09/2007,95.9476
25/09/2007,96.0283
26/09/2007,96.0688
27/09/2007,96.313
28/09/2007,96.2955
1/10/2007,96.4418
2/10/2007,97.424
3/10/2007,97.3925
4/10/2007,97.4957
5/10/2007,96.8786
8/10/2007,96.8924
9/10/2007,96.8582
10/10/2007,96.9255
11/10/2007,96.8806
12/10/2007,96.7431
15/10/2007,96.8291
16/10/2007,96.9206
17/10/2007,97.5676
18/10/2007,97.8465
19/10/2007,98.4136
22/10/2007,98.4671
23/10/2007,98.4209
24/10/2007,98.8752
25/10/2007,98.7566
26/10/2007,98.558
29/10/2007,98.6161
30/10/2007,98.6419
31/10/2007,98.2009
1/11/2007,98.8279
2/11/2007,99.2141
5/11/2007,99.0898
6/11/2007,98.8773
7/11/2007,99.0381
8/11/2007,99.374
9/11/2007,99.672
12/11/2007,99.6859
13/11/2007,99.5058
14/11/2007,99.2502
15/11/2007,99.8525
16/11/2007,99.9225
19/11/2007,100.3333
20/11/2007,100.4991
21/11/2007,100.4516
22/11/2007,100.4655
23/11/2007,100.5021
26/11/2007,101.4143
27/11/2007,100.3745
28/11/2007,99.979
29/11/2007,100.4373
30/11/2007,100.3015
3/12/2007,100.7331
4/12/2007,100.7584
5/12/2007,100.7065
6/12/2007,100.1996
7/12/2007,99.5757
