Name,SK TELECOM CO.LTD. 2004 4 1/4% 01/04/11 S - GROSS PRICE
Code,39405M(GP)
18/07/2006,94.0913
19/07/2006,94.4588
20/07/2006,94.6408
21/07/2006,94.6057
24/07/2006,94.6094
25/07/2006,94.528
26/07/2006,94.6937
27/07/2006,94.7133
28/07/2006,94.9686
31/07/2006,95.0382
1/08/2006,95.0804
2/08/2006,95.1879
3/08/2006,95.1683
4/08/2006,95.4197
7/08/2006,95.3147
8/08/2006,95.4033
9/08/2006,95.5298
10/08/2006,95.5217
11/08/2006,95.6683
14/08/2006,95.5248
15/08/2006,95.8299
16/08/2006,96.1266
17/08/2006,96.1183
18/08/2006,96.261
21/08/2006,96.3186
22/08/2006,96.3527
23/08/2006,96.3543
24/08/2006,96.3768
25/08/2006,96.4612
28/08/2006,96.4023
29/08/2006,96.4566
30/08/2006,96.5192
31/08/2006,96.6576
1/09/2006,96.7148
4/09/2006,96.7266
5/09/2006,96.6138
6/09/2006,96.5773
7/09/2006,96.7037
8/09/2006,96.8494
11/09/2006,96.7408
12/09/2006,96.8594
13/09/2006,96.9419
14/09/2006,96.7991
15/09/2006,96.7448
18/09/2006,96.6983
19/09/2006,97.0236
20/09/2006,97.0637
21/09/2006,97.4431
22/09/2006,97.6579
25/09/2006,97.7956
26/09/2006,97.6597
27/09/2006,95.5583
28/09/2006,95.4956
29/09/2006,95.4292
2/10/2006,95.6006
3/10/2006,95.6147
4/10/2006,95.9007
5/10/2006,95.7193
6/10/2006,95.3555
9/10/2006,95.3673
10/10/2006,95.1498
11/10/2006,95.212
12/10/2006,95.2605
13/10/2006,95.1765
16/10/2006,95.259
17/10/2006,95.3264
18/10/2006,95.3922
19/10/2006,95.3235
20/10/2006,95.3229
23/10/2006,95.1754
24/10/2006,95.1824
25/10/2006,95.4138
26/10/2006,95.4465
27/10/2006,95.6315
30/10/2006,95.6835
31/10/2006,95.9583
1/11/2006,96.1934
2/11/2006,96.0828
3/11/2006,95.5669
6/11/2006,95.6113
7/11/2006,95.8169
8/11/2006,95.9686
9/11/2006,95.9866
10/11/2006,96.1359
