Name,HORIZON LINES LLC 2004 9% 01/11/12 144A S - GROSS PRICE
Code,46200V(GP)
30/08/2006,111.075
31/08/2006,111.1
1/09/2006,111.125
4/09/2006,111.15
5/09/2006,111.175
6/09/2006,111.25
7/09/2006,111.275
8/09/2006,111.3
11/09/2006,111.325
12/09/2006,111.35
13/09/2006,111.425
14/09/2006,111.45
15/09/2006,111.475
18/09/2006,111.5
19/09/2006,111.525
20/09/2006,111.6
21/09/2006,111.625
22/09/2006,111.65
25/09/2006,111.675
26/09/2006,111.7
27/09/2006,111.775
28/09/2006,111.8
29/09/2006,111.825
2/10/2006,111.85
3/10/2006,111.875
4/10/2006,111.95
5/10/2006,111.975
6/10/2006,112
9/10/2006,112.025
10/10/2006,112.05
11/10/2006,112.125
12/10/2006,112.15
13/10/2006,112.175
16/10/2006,112.2
17/10/2006,112.225
18/10/2006,112.3
19/10/2006,112.325
20/10/2006,112.35
23/10/2006,112.375
24/10/2006,112.4
25/10/2006,112.475
26/10/2006,112.475
27/10/2006,108
30/10/2006,108.025
31/10/2006,108.05
1/11/2006,108.125
2/11/2006,108.15
3/11/2006,108.175
6/11/2006,108.2
7/11/2006,108.225
8/11/2006,108.3
9/11/2006,108.325
10/11/2006,108.35
13/11/2006,108.375
14/11/2006,108.4
15/11/2006,108.475
16/11/2006,108.5
17/11/2006,108.525
20/11/2006,108.55
21/11/2006,108.575
22/11/2006,108.65
23/11/2006,108.675
24/11/2006,108.7
27/11/2006,108.725
28/11/2006,108.75
29/11/2006,108.825
30/11/2006,108.85
1/12/2006,108.875
4/12/2006,108.9
5/12/2006,108.925
6/12/2006,109
7/12/2006,109.025
8/12/2006,109.05
11/12/2006,109.075
12/12/2006,109.1
13/12/2006,109.175
14/12/2006,109.2
15/12/2006,109.225
18/12/2006,109.25
19/12/2006,109.275
20/12/2006,109.35
21/12/2006,109.375
22/12/2006,109.4
25/12/2006,109.425
26/12/2006,109.45
27/12/2006,109.5
28/12/2006,109.525
29/12/2006,109.55
1/01/2007,109.575
2/01/2007,109.6
3/01/2007,109.675
4/01/2007,109.7
5/01/2007,109.725
8/01/2007,109.75
9/01/2007,109.775
10/01/2007,109.85
11/01/2007,109.875
12/01/2007,109.9
15/01/2007,109.925
16/01/2007,109.95
17/01/2007,110.025
18/01/2007,110.05
19/01/2007,110.075
22/01/2007,110.1
23/01/2007,110.125
24/01/2007,110.2
25/01/2007,110.225
26/01/2007,110.225
29/01/2007,110.25
30/01/2007,110.275
31/01/2007,110.35
1/02/2007,110.375
2/02/2007,110.4
5/02/2007,110.425
6/02/2007,110.45
7/02/2007,110.525
8/02/2007,110.55
9/02/2007,110.575
12/02/2007,110.6
13/02/2007,110.625
14/02/2007,110.7
15/02/2007,110.725
16/02/2007,110.75
19/02/2007,110.775
20/02/2007,110.8
21/02/2007,110.875
22/02/2007,110.9
23/02/2007,110.925
26/02/2007,111
27/02/2007,111.025
28/02/2007,111.1
1/03/2007,111.125
2/03/2007,111.15
5/03/2007,111.175
6/03/2007,111.2
7/03/2007,111.275
8/03/2007,111.3
9/03/2007,111.325
12/03/2007,111.35
13/03/2007,111.375
14/03/2007,111.45
15/03/2007,111.475
16/03/2007,111.5
19/03/2007,111.525
20/03/2007,111.55
21/03/2007,111.625
22/03/2007,111.65
23/03/2007,111.675
26/03/2007,111.7
27/03/2007,111.725
28/03/2007,111.775
29/03/2007,111.8
30/03/2007,111.825
2/04/2007,111.85
3/04/2007,111.875
4/04/2007,111.95
5/04/2007,111.975
6/04/2007,112
9/04/2007,112.025
10/04/2007,112.05
11/04/2007,112.125
12/04/2007,112.15
13/04/2007,112.175
16/04/2007,112.2
17/04/2007,112.225
18/04/2007,112.3
19/04/2007,112.325
20/04/2007,112.35
23/04/2007,112.375
